id,name,class
0325_01,character01,0
0325_02,character01,0
0325_03,character01,0
0325_04,character01,0
0325_05,character01,0
0325_06,character01,0
0325_07,character01,0
0325_08,character01,0
0325_09,character01,0
0325_10,character01,0
0325_11,character01,0
0325_12,character01,0
0325_13,character01,0
0325_14,character01,0
0325_15,character01,0
0325_16,character01,0
0325_17,character01,0
0325_18,character01,0
0325_19,character01,0
0325_20,character01,0
0326_01,character02,1
0326_02,character02,1
0326_03,character02,1
0326_04,character02,1
0326_05,character02,1
0326_06,character02,1
0326_07,character02,1
0326_08,character02,1
0326_09,character02,1
0326_10,character02,1
0326_11,character02,1
0326_12,character02,1
0326_13,character02,1
0326_14,character02,1
0326_15,character02,1
0326_16,character02,1
0326_17,character02,1
0326_18,character02,1
0326_19,character02,1
0326_20,character02,1
0327_01,character03,2
0327_02,character03,2
0327_03,character03,2
0327_04,character03,2
0327_05,character03,2
0327_06,character03,2
0327_07,character03,2
0327_08,character03,2
0327_09,character03,2
0327_10,character03,2
0327_11,character03,2
0327_12,character03,2
0327_13,character03,2
0327_14,character03,2
0327_15,character03,2
0327_16,character03,2
0327_17,character03,2
0327_18,character03,2
0327_19,character03,2
0327_20,character03,2
0331_01,character07,3
0331_02,character07,3
0331_03,character07,3
0331_04,character07,3
0331_05,character07,3
0331_06,character07,3
0331_07,character07,3
0331_08,character07,3
0331_09,character07,3
0331_10,character07,3
0331_11,character07,3
0331_12,character07,3
0331_13,character07,3
0331_14,character07,3
0331_15,character07,3
0331_16,character07,3
0331_17,character07,3
0331_18,character07,3
0331_19,character07,3
0331_20,character07,3
0332_01,character08,4
0332_02,character08,4
0332_03,character08,4
0332_04,character08,4
0332_05,character08,4
0332_06,character08,4
0332_07,character08,4
0332_08,character08,4
0332_09,character08,4
0332_10,character08,4
0332_11,character08,4
0332_12,character08,4
0332_13,character08,4
0332_14,character08,4
0332_15,character08,4
0332_16,character08,4
0332_17,character08,4
0332_18,character08,4
0332_19,character08,4
0332_20,character08,4
0334_01,character10,5
0334_02,character10,5
0334_03,character10,5
0334_04,character10,5
0334_05,character10,5
0334_06,character10,5
0334_07,character10,5
0334_08,character10,5
0334_09,character10,5
0334_10,character10,5
0334_11,character10,5
0334_12,character10,5
0334_13,character10,5
0334_14,character10,5
0334_15,character10,5
0334_16,character10,5
0334_17,character10,5
0334_18,character10,5
0334_19,character10,5
0334_20,character10,5
0335_01,character11,6
0335_02,character11,6
0335_03,character11,6
0335_04,character11,6
0335_05,character11,6
0335_06,character11,6
0335_07,character11,6
0335_08,character11,6
0335_09,character11,6
0335_10,character11,6
0335_11,character11,6
0335_12,character11,6
0335_13,character11,6
0335_14,character11,6
0335_15,character11,6
0335_16,character11,6
0335_17,character11,6
0335_18,character11,6
0335_19,character11,6
0335_20,character11,6
0339_01,character15,7
0339_02,character15,7
0339_03,character15,7
0339_04,character15,7
0339_05,character15,7
0339_06,character15,7
0339_07,character15,7
0339_08,character15,7
0339_09,character15,7
0339_10,character15,7
0339_11,character15,7
0339_12,character15,7
0339_13,character15,7
0339_14,character15,7
0339_15,character15,7
0339_16,character15,7
0339_17,character15,7
0339_18,character15,7
0339_19,character15,7
0339_20,character15,7
0340_01,character16,8
0340_02,character16,8
0340_03,character16,8
0340_04,character16,8
0340_05,character16,8
0340_06,character16,8
0340_07,character16,8
0340_08,character16,8
0340_09,character16,8
0340_10,character16,8
0340_11,character16,8
0340_12,character16,8
0340_13,character16,8
0340_14,character16,8
0340_15,character16,8
0340_16,character16,8
0340_17,character16,8
0340_18,character16,8
0340_19,character16,8
0340_20,character16,8
0341_01,character17,9
0341_02,character17,9
0341_03,character17,9
0341_04,character17,9
0341_05,character17,9
0341_06,character17,9
0341_07,character17,9
0341_08,character17,9
0341_09,character17,9
0341_10,character17,9
0341_11,character17,9
0341_12,character17,9
0341_13,character17,9
0341_14,character17,9
0341_15,character17,9
0341_16,character17,9
0341_17,character17,9
0341_18,character17,9
0341_19,character17,9
0341_20,character17,9
0347_01,character23,10
0347_02,character23,10
0347_03,character23,10
0347_04,character23,10
0347_05,character23,10
0347_06,character23,10
0347_07,character23,10
0347_08,character23,10
0347_09,character23,10
0347_10,character23,10
0347_11,character23,10
0347_12,character23,10
0347_13,character23,10
0347_14,character23,10
0347_15,character23,10
0347_16,character23,10
0347_17,character23,10
0347_18,character23,10
0347_19,character23,10
0347_20,character23,10
0349_01,character25,11
0349_02,character25,11
0349_03,character25,11
0349_04,character25,11
0349_05,character25,11
0349_06,character25,11
0349_07,character25,11
0349_08,character25,11
0349_09,character25,11
0349_10,character25,11
0349_11,character25,11
0349_12,character25,11
0349_13,character25,11
0349_14,character25,11
0349_15,character25,11
0349_16,character25,11
0349_17,character25,11
0349_18,character25,11
0349_19,character25,11
0349_20,character25,11
0350_01,character26,12
0350_02,character26,12
0350_03,character26,12
0350_04,character26,12
0350_05,character26,12
0350_06,character26,12
0350_07,character26,12
0350_08,character26,12
0350_09,character26,12
0350_10,character26,12
0350_11,character26,12
0350_12,character26,12
0350_13,character26,12
0350_14,character26,12
0350_15,character26,12
0350_16,character26,12
0350_17,character26,12
0350_18,character26,12
0350_19,character26,12
0350_20,character26,12
