id,name,class
0351_01,character01,0
0351_02,character01,0
0351_03,character01,0
0351_04,character01,0
0351_05,character01,0
0351_06,character01,0
0351_07,character01,0
0351_08,character01,0
0351_09,character01,0
0351_10,character01,0
0351_11,character01,0
0351_12,character01,0
0351_13,character01,0
0351_14,character01,0
0351_15,character01,0
0351_16,character01,0
0351_17,character01,0
0351_18,character01,0
0351_19,character01,0
0351_20,character01,0
0352_01,character02,1
0352_02,character02,1
0352_03,character02,1
0352_04,character02,1
0352_05,character02,1
0352_06,character02,1
0352_07,character02,1
0352_08,character02,1
0352_09,character02,1
0352_10,character02,1
0352_11,character02,1
0352_12,character02,1
0352_13,character02,1
0352_14,character02,1
0352_15,character02,1
0352_16,character02,1
0352_17,character02,1
0352_18,character02,1
0352_19,character02,1
0352_20,character02,1
0354_01,character04,2
0354_02,character04,2
0354_03,character04,2
0354_04,character04,2
0354_05,character04,2
0354_06,character04,2
0354_07,character04,2
0354_08,character04,2
0354_09,character04,2
0354_10,character04,2
0354_11,character04,2
0354_12,character04,2
0354_13,character04,2
0354_14,character04,2
0354_15,character04,2
0354_16,character04,2
0354_17,character04,2
0354_18,character04,2
0354_19,character04,2
0354_20,character04,2
0358_01,character08,3
0358_02,character08,3
0358_03,character08,3
0358_04,character08,3
0358_05,character08,3
0358_06,character08,3
0358_07,character08,3
0358_08,character08,3
0358_09,character08,3
0358_10,character08,3
0358_11,character08,3
0358_12,character08,3
0358_13,character08,3
0358_14,character08,3
0358_15,character08,3
0358_16,character08,3
0358_17,character08,3
0358_18,character08,3
0358_19,character08,3
0358_20,character08,3
0359_01,character09,4
0359_02,character09,4
0359_03,character09,4
0359_04,character09,4
0359_05,character09,4
0359_06,character09,4
0359_07,character09,4
0359_08,character09,4
0359_09,character09,4
0359_10,character09,4
0359_11,character09,4
0359_12,character09,4
0359_13,character09,4
0359_14,character09,4
0359_15,character09,4
0359_16,character09,4
0359_17,character09,4
0359_18,character09,4
0359_19,character09,4
0359_20,character09,4
0365_01,character15,5
0365_02,character15,5
0365_03,character15,5
0365_04,character15,5
0365_05,character15,5
0365_06,character15,5
0365_07,character15,5
0365_08,character15,5
0365_09,character15,5
0365_10,character15,5
0365_11,character15,5
0365_12,character15,5
0365_13,character15,5
0365_14,character15,5
0365_15,character15,5
0365_16,character15,5
0365_17,character15,5
0365_18,character15,5
0365_19,character15,5
0365_20,character15,5
0367_01,character17,6
0367_02,character17,6
0367_03,character17,6
0367_04,character17,6
0367_05,character17,6
0367_06,character17,6
0367_07,character17,6
0367_08,character17,6
0367_09,character17,6
0367_10,character17,6
0367_11,character17,6
0367_12,character17,6
0367_13,character17,6
0367_14,character17,6
0367_15,character17,6
0367_16,character17,6
0367_17,character17,6
0367_18,character17,6
0367_19,character17,6
0367_20,character17,6
0368_01,character18,7
0368_02,character18,7
0368_03,character18,7
0368_04,character18,7
0368_05,character18,7
0368_06,character18,7
0368_07,character18,7
0368_08,character18,7
0368_09,character18,7
0368_10,character18,7
0368_11,character18,7
0368_12,character18,7
0368_13,character18,7
0368_14,character18,7
0368_15,character18,7
0368_16,character18,7
0368_17,character18,7
0368_18,character18,7
0368_19,character18,7
0368_20,character18,7
0369_01,character19,8
0369_02,character19,8
0369_03,character19,8
0369_04,character19,8
0369_05,character19,8
0369_06,character19,8
0369_07,character19,8
0369_08,character19,8
0369_09,character19,8
0369_10,character19,8
0369_11,character19,8
0369_12,character19,8
0369_13,character19,8
0369_14,character19,8
0369_15,character19,8
0369_16,character19,8
0369_17,character19,8
0369_18,character19,8
0369_19,character19,8
0369_20,character19,8
0370_01,character20,9
0370_02,character20,9
0370_03,character20,9
0370_04,character20,9
0370_05,character20,9
0370_06,character20,9
0370_07,character20,9
0370_08,character20,9
0370_09,character20,9
0370_10,character20,9
0370_11,character20,9
0370_12,character20,9
0370_13,character20,9
0370_14,character20,9
0370_15,character20,9
0370_16,character20,9
0370_17,character20,9
0370_18,character20,9
0370_19,character20,9
0370_20,character20,9
0372_01,character22,10
0372_02,character22,10
0372_03,character22,10
0372_04,character22,10
0372_05,character22,10
0372_06,character22,10
0372_07,character22,10
0372_08,character22,10
0372_09,character22,10
0372_10,character22,10
0372_11,character22,10
0372_12,character22,10
0372_13,character22,10
0372_14,character22,10
0372_15,character22,10
0372_16,character22,10
0372_17,character22,10
0372_18,character22,10
0372_19,character22,10
0372_20,character22,10
0373_01,character23,11
0373_02,character23,11
0373_03,character23,11
0373_04,character23,11
0373_05,character23,11
0373_06,character23,11
0373_07,character23,11
0373_08,character23,11
0373_09,character23,11
0373_10,character23,11
0373_11,character23,11
0373_12,character23,11
0373_13,character23,11
0373_14,character23,11
0373_15,character23,11
0373_16,character23,11
0373_17,character23,11
0373_18,character23,11
0373_19,character23,11
0373_20,character23,11
0374_01,character24,12
0374_02,character24,12
0374_03,character24,12
0374_04,character24,12
0374_05,character24,12
0374_06,character24,12
0374_07,character24,12
0374_08,character24,12
0374_09,character24,12
0374_10,character24,12
0374_11,character24,12
0374_12,character24,12
0374_13,character24,12
0374_14,character24,12
0374_15,character24,12
0374_16,character24,12
0374_17,character24,12
0374_18,character24,12
0374_19,character24,12
0374_20,character24,12
0375_01,character25,13
0375_02,character25,13
0375_03,character25,13
0375_04,character25,13
0375_05,character25,13
0375_06,character25,13
0375_07,character25,13
0375_08,character25,13
0375_09,character25,13
0375_10,character25,13
0375_11,character25,13
0375_12,character25,13
0375_13,character25,13
0375_14,character25,13
0375_15,character25,13
0375_16,character25,13
0375_17,character25,13
0375_18,character25,13
0375_19,character25,13
0375_20,character25,13
0376_01,character26,14
0376_02,character26,14
0376_03,character26,14
0376_04,character26,14
0376_05,character26,14
0376_06,character26,14
0376_07,character26,14
0376_08,character26,14
0376_09,character26,14
0376_10,character26,14
0376_11,character26,14
0376_12,character26,14
0376_13,character26,14
0376_14,character26,14
0376_15,character26,14
0376_16,character26,14
0376_17,character26,14
0376_18,character26,14
0376_19,character26,14
