id,name,class
0466_01,character01,0
0466_02,character01,0
0466_03,character01,0
0466_04,character01,0
0466_05,character01,0
0466_06,character01,0
0466_07,character01,0
0466_08,character01,0
0466_09,character01,0
0466_10,character01,0
0466_11,character01,0
0466_12,character01,0
0466_13,character01,0
0466_14,character01,0
0466_15,character01,0
0466_16,character01,0
0466_17,character01,0
0466_18,character01,0
0466_19,character01,0
0466_20,character01,0
0467_01,character02,1
0467_02,character02,1
0467_03,character02,1
0467_04,character02,1
0467_05,character02,1
0467_06,character02,1
0467_07,character02,1
0467_08,character02,1
0467_09,character02,1
0467_10,character02,1
0467_11,character02,1
0467_12,character02,1
0467_13,character02,1
0467_14,character02,1
0467_15,character02,1
0467_16,character02,1
0467_17,character02,1
0467_18,character02,1
0467_19,character02,1
0467_20,character02,1
0468_01,character03,2
0468_02,character03,2
0468_03,character03,2
0468_04,character03,2
0468_05,character03,2
0468_06,character03,2
0468_07,character03,2
0468_08,character03,2
0468_09,character03,2
0468_10,character03,2
0468_11,character03,2
0468_12,character03,2
0468_13,character03,2
0468_14,character03,2
0468_15,character03,2
0468_16,character03,2
0468_17,character03,2
0468_18,character03,2
0468_19,character03,2
0468_20,character03,2
0471_01,character06,3
0471_02,character06,3
0471_03,character06,3
0471_04,character06,3
0471_05,character06,3
0471_06,character06,3
0471_07,character06,3
0471_08,character06,3
0471_09,character06,3
0471_10,character06,3
0471_11,character06,3
0471_12,character06,3
0471_13,character06,3
0471_14,character06,3
0471_15,character06,3
0471_16,character06,3
0471_17,character06,3
0471_18,character06,3
0471_19,character06,3
0471_20,character06,3
0476_01,character11,4
0476_02,character11,4
0476_03,character11,4
0476_04,character11,4
0476_05,character11,4
0476_06,character11,4
0476_07,character11,4
0476_08,character11,4
0476_09,character11,4
0476_10,character11,4
0476_11,character11,4
0476_12,character11,4
0476_13,character11,4
0476_14,character11,4
0476_15,character11,4
0476_16,character11,4
0476_17,character11,4
0476_18,character11,4
0476_19,character11,4
0476_20,character11,4
0477_01,character12,5
0477_02,character12,5
0477_03,character12,5
0477_04,character12,5
0477_05,character12,5
0477_06,character12,5
0477_07,character12,5
0477_08,character12,5
0477_09,character12,5
0477_10,character12,5
0477_11,character12,5
0477_12,character12,5
0477_13,character12,5
0477_14,character12,5
0477_15,character12,5
0477_16,character12,5
0477_17,character12,5
0477_18,character12,5
0477_19,character12,5
0477_20,character12,5
0479_01,character14,6
0479_02,character14,6
0479_03,character14,6
0479_04,character14,6
0479_05,character14,6
0479_06,character14,6
0479_07,character14,6
0479_08,character14,6
0479_09,character14,6
0479_10,character14,6
0479_11,character14,6
0479_12,character14,6
0479_13,character14,6
0479_14,character14,6
0479_15,character14,6
0479_16,character14,6
0479_17,character14,6
0479_18,character14,6
0479_19,character14,6
0479_20,character14,6
0480_01,character15,7
0480_02,character15,7
0480_03,character15,7
0480_04,character15,7
0480_05,character15,7
0480_06,character15,7
0480_07,character15,7
0480_08,character15,7
0480_09,character15,7
0480_10,character15,7
0480_11,character15,7
0480_12,character15,7
0480_13,character15,7
0480_14,character15,7
0480_15,character15,7
0480_16,character15,7
0480_17,character15,7
0480_18,character15,7
0480_19,character15,7
0480_20,character15,7
0481_01,character16,8
0481_02,character16,8
0481_03,character16,8
0481_04,character16,8
0481_05,character16,8
0481_06,character16,8
0481_07,character16,8
0481_08,character16,8
0481_09,character16,8
0481_10,character16,8
0481_11,character16,8
0481_12,character16,8
0481_13,character16,8
0481_14,character16,8
0481_15,character16,8
0481_16,character16,8
0481_17,character16,8
0481_18,character16,8
0481_19,character16,8
0481_20,character16,8
0486_01,character21,9
0486_02,character21,9
0486_03,character21,9
0486_04,character21,9
0486_05,character21,9
0486_06,character21,9
0486_07,character21,9
0486_08,character21,9
0486_09,character21,9
0486_10,character21,9
0486_11,character21,9
0486_12,character21,9
0486_13,character21,9
0486_14,character21,9
0486_15,character21,9
0486_16,character21,9
0486_17,character21,9
0486_18,character21,9
0486_19,character21,9
0486_20,character21,9
0487_01,character22,10
0487_02,character22,10
0487_03,character22,10
0487_04,character22,10
0487_05,character22,10
0487_06,character22,10
0487_07,character22,10
0487_08,character22,10
0487_09,character22,10
0487_10,character22,10
0487_11,character22,10
0487_12,character22,10
0487_13,character22,10
0487_14,character22,10
0487_15,character22,10
0487_16,character22,10
0487_17,character22,10
0487_18,character22,10
0487_19,character22,10
0487_20,character22,10
