id,name,class
0729_01,character01,0
0729_02,character01,0
0729_03,character01,0
0729_04,character01,0
0729_05,character01,0
0729_06,character01,0
0729_07,character01,0
0729_08,character01,0
0729_09,character01,0
0729_10,character01,0
0729_11,character01,0
0729_12,character01,0
0729_13,character01,0
0729_14,character01,0
0729_15,character01,0
0729_16,character01,0
0729_17,character01,0
0729_18,character01,0
0729_19,character01,0
0729_20,character01,0
0730_01,character02,1
0730_02,character02,1
0730_03,character02,1
0730_04,character02,1
0730_05,character02,1
0730_06,character02,1
0730_07,character02,1
0730_08,character02,1
0730_09,character02,1
0730_10,character02,1
0730_11,character02,1
0730_12,character02,1
0730_13,character02,1
0730_14,character02,1
0730_15,character02,1
0730_16,character02,1
0730_17,character02,1
0730_18,character02,1
0730_19,character02,1
0730_20,character02,1
0732_01,character04,2
0732_02,character04,2
0732_03,character04,2
0732_04,character04,2
0732_05,character04,2
0732_06,character04,2
0732_07,character04,2
0732_08,character04,2
0732_09,character04,2
0732_10,character04,2
0732_11,character04,2
0732_12,character04,2
0732_13,character04,2
0732_14,character04,2
0732_15,character04,2
0732_16,character04,2
0732_17,character04,2
0732_18,character04,2
0732_19,character04,2
0732_20,character04,2
0734_01,character06,3
0734_02,character06,3
0734_03,character06,3
0734_04,character06,3
0734_05,character06,3
0734_06,character06,3
0734_07,character06,3
0734_08,character06,3
0734_09,character06,3
0734_10,character06,3
0734_11,character06,3
0734_12,character06,3
0734_13,character06,3
0734_14,character06,3
0734_15,character06,3
0734_16,character06,3
0734_17,character06,3
0734_18,character06,3
0734_19,character06,3
0734_20,character06,3
0735_01,character07,4
0735_02,character07,4
0735_03,character07,4
0735_04,character07,4
0735_05,character07,4
0735_06,character07,4
0735_07,character07,4
0735_08,character07,4
0735_09,character07,4
0735_10,character07,4
0735_11,character07,4
0735_12,character07,4
0735_13,character07,4
0735_14,character07,4
0735_15,character07,4
0735_16,character07,4
0735_17,character07,4
0735_18,character07,4
0735_19,character07,4
0735_20,character07,4
0736_01,character08,5
0736_02,character08,5
0736_03,character08,5
0736_04,character08,5
