id,name,class
0273_01,character01,0
0273_02,character01,0
0273_03,character01,0
0273_04,character01,0
0273_05,character01,0
0273_06,character01,0
0273_07,character01,0
0273_08,character01,0
0273_09,character01,0
0273_10,character01,0
0273_11,character01,0
0273_12,character01,0
0273_13,character01,0
0273_14,character01,0
0273_15,character01,0
0273_16,character01,0
0273_17,character01,0
0273_18,character01,0
0273_19,character01,0
0273_20,character01,0
0275_01,character03,1
0275_02,character03,1
0275_03,character03,1
0275_04,character03,1
0275_05,character03,1
0275_06,character03,1
0275_07,character03,1
0275_08,character03,1
0275_09,character03,1
0275_10,character03,1
0275_11,character03,1
0275_12,character03,1
0275_13,character03,1
0275_14,character03,1
0275_15,character03,1
0275_16,character03,1
0275_17,character03,1
0275_18,character03,1
0275_19,character03,1
0275_20,character03,1
0276_01,character04,2
0276_02,character04,2
0276_03,character04,2
0276_04,character04,2
0276_05,character04,2
0276_06,character04,2
0276_07,character04,2
0276_08,character04,2
0276_09,character04,2
0276_10,character04,2
0276_11,character04,2
0276_12,character04,2
0276_13,character04,2
0276_14,character04,2
0276_15,character04,2
0276_16,character04,2
0276_17,character04,2
0276_18,character04,2
0276_19,character04,2
0276_20,character04,2
0278_01,character06,3
0278_02,character06,3
0278_03,character06,3
0278_04,character06,3
0278_05,character06,3
0278_06,character06,3
0278_07,character06,3
0278_08,character06,3
0278_09,character06,3
0278_10,character06,3
0278_11,character06,3
0278_12,character06,3
0278_13,character06,3
0278_14,character06,3
0278_15,character06,3
0278_16,character06,3
0278_17,character06,3
0278_18,character06,3
0278_19,character06,3
0278_20,character06,3
0283_01,character11,4
0283_02,character11,4
0283_03,character11,4
0283_04,character11,4
0283_05,character11,4
0283_06,character11,4
0283_07,character11,4
0283_08,character11,4
0283_09,character11,4
0283_10,character11,4
0283_11,character11,4
0283_12,character11,4
0283_13,character11,4
0283_14,character11,4
0283_15,character11,4
0283_16,character11,4
0283_17,character11,4
0283_18,character11,4
0283_19,character11,4
0283_20,character11,4
0284_01,character12,5
0284_02,character12,5
0284_03,character12,5
0284_04,character12,5
0284_05,character12,5
0284_06,character12,5
0284_07,character12,5
0284_08,character12,5
0284_09,character12,5
0284_10,character12,5
0284_11,character12,5
0284_12,character12,5
0284_13,character12,5
0284_14,character12,5
0284_15,character12,5
0284_16,character12,5
0284_17,character12,5
0284_18,character12,5
0284_19,character12,5
0284_20,character12,5
0286_01,character14,6
0286_02,character14,6
0286_03,character14,6
0286_04,character14,6
0286_05,character14,6
0286_06,character14,6
0286_07,character14,6
0286_08,character14,6
0286_09,character14,6
0286_10,character14,6
0286_11,character14,6
0286_12,character14,6
0286_13,character14,6
0286_14,character14,6
0286_15,character14,6
0286_16,character14,6
0286_17,character14,6
0286_18,character14,6
0286_19,character14,6
0286_20,character14,6
0287_01,character15,7
0287_02,character15,7
0287_03,character15,7
0287_04,character15,7
0287_05,character15,7
0287_06,character15,7
0287_07,character15,7
0287_08,character15,7
0287_09,character15,7
0287_10,character15,7
0287_11,character15,7
0287_12,character15,7
0287_13,character15,7
0287_14,character15,7
0287_15,character15,7
0287_16,character15,7
0287_17,character15,7
0287_18,character15,7
0287_19,character15,7
0287_20,character15,7
0288_01,character16,8
0288_02,character16,8
0288_03,character16,8
0288_04,character16,8
0288_05,character16,8
0288_06,character16,8
0288_07,character16,8
0288_08,character16,8
0288_09,character16,8
0288_10,character16,8
0288_11,character16,8
0288_12,character16,8
0288_13,character16,8
0288_14,character16,8
0288_15,character16,8
0288_16,character16,8
0288_17,character16,8
0288_18,character16,8
0288_19,character16,8
0288_20,character16,8
0291_01,character19,9
0291_02,character19,9
0291_03,character19,9
0291_04,character19,9
0291_05,character19,9
0291_06,character19,9
0291_07,character19,9
0291_08,character19,9
0291_09,character19,9
0291_10,character19,9
0291_11,character19,9
0291_12,character19,9
0291_13,character19,9
0291_14,character19,9
0291_15,character19,9
0291_16,character19,9
0291_17,character19,9
0291_18,character19,9
0291_19,character19,9
0291_20,character19,9
0293_01,character21,10
0293_02,character21,10
0293_03,character21,10
0293_04,character21,10
0293_05,character21,10
0293_06,character21,10
0293_07,character21,10
0293_08,character21,10
0293_09,character21,10
0293_10,character21,10
0293_11,character21,10
0293_12,character21,10
0293_13,character21,10
0293_14,character21,10
0293_15,character21,10
0293_16,character21,10
0293_17,character21,10
0293_18,character21,10
0293_19,character21,10
0293_20,character21,10
0294_01,character22,11
0294_02,character22,11
0294_03,character22,11
0294_04,character22,11
0294_05,character22,11
0294_06,character22,11
0294_07,character22,11
0294_08,character22,11
0294_09,character22,11
0294_10,character22,11
0294_11,character22,11
0294_12,character22,11
0294_13,character22,11
0294_14,character22,11
0294_15,character22,11
0294_16,character22,11
0294_17,character22,11
0294_18,character22,11
0294_19,character22,11
0294_20,character22,11
